Variant,Dataset,Resolution,PSNR,SSIM,GateFidelity,InformationLoss
AQIR-ADS,sar,4x4,34.162,0.57,0.887,0.43
AQIR-NoGrad,sar,4x4,35.386,0.595,0.887,0.405
AQIR-FixedRot,sar,4x4,6.165,0.015,0.887,0.985
AQIR-Deep,sar,4x4,28.973,0.311,0.887,0.689
AQIR-ADS,sar,2x2,44.609,0.894,0.98,0.106
AQIR-NoGrad,sar,2x2,46.37,0.882,0.98,0.118
AQIR-FixedRot,sar,2x2,6.227,0.023,0.98,0.977
AQIR-Deep,sar,2x2,54.151,0.991,0.98,0.009
AQIR-ADS,sar,4x4,32.97,0.483,0.887,0.517
AQIR-NoGrad,sar,4x4,34.432,0.556,0.887,0.444
AQIR-FixedRot,sar,4x4,6.246,0.01,0.887,0.99
AQIR-Deep,sar,4x4,24.813,0.142,0.887,0.858
AQIR-ADS,sar,2x2,54.151,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,51.141,0.964,0.98,0.036
AQIR-FixedRot,sar,2x2,6.158,0.008,0.98,0.992
AQIR-Deep,sar,2x2,42.69,0.853,0.98,0.147
AQIR-ADS,sar,4x4,39.168,0.683,0.887,0.317
AQIR-NoGrad,sar,4x4,35.518,0.484,0.887,0.516
AQIR-FixedRot,sar,4x4,5.821,0.003,0.887,0.997
AQIR-Deep,sar,4x4,25.111,0.05,0.887,0.95
AQIR-ADS,sar,2x2,48.131,0.959,0.98,0.041
AQIR-NoGrad,sar,2x2,49.38,0.98,0.98,0.02
AQIR-FixedRot,sar,2x2,6.106,0.012,0.98,0.988
AQIR-Deep,sar,2x2,43.012,0.94,0.98,0.06
AQIR-ADS,sar,4x4,31.445,0.31,0.887,0.69
AQIR-NoGrad,sar,4x4,31.497,0.273,0.887,0.727
AQIR-FixedRot,sar,4x4,6.24,0.007,0.887,0.993
AQIR-Deep,sar,4x4,30.767,0.337,0.887,0.663
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.121,0.007,0.98,0.993
AQIR-Deep,sar,2x2,100.0,1.0,0.98,0.0
AQIR-ADS,sar,4x4,30.863,0.234,0.887,0.766
AQIR-NoGrad,sar,4x4,38.297,0.685,0.887,0.315
AQIR-FixedRot,sar,4x4,6.149,0.004,0.887,0.996
AQIR-Deep,sar,4x4,31.387,0.34,0.887,0.66
AQIR-ADS,sar,2x2,44.609,0.955,0.98,0.045
AQIR-NoGrad,sar,2x2,48.131,0.901,0.98,0.099
AQIR-FixedRot,sar,2x2,6.106,0.012,0.98,0.988
AQIR-Deep,sar,2x2,39.68,0.815,0.98,0.185
AQIR-ADS,sar,4x4,32.652,0.367,0.887,0.633
AQIR-NoGrad,sar,4x4,33.27,0.469,0.887,0.531
AQIR-FixedRot,sar,4x4,6.133,0.005,0.887,0.995
AQIR-Deep,sar,4x4,28.937,0.168,0.887,0.832
AQIR-ADS,sar,2x2,51.141,0.967,0.98,0.033
AQIR-NoGrad,sar,2x2,46.37,0.951,0.98,0.049
AQIR-FixedRot,sar,2x2,6.157,0.012,0.98,0.988
AQIR-Deep,sar,2x2,46.37,0.951,0.98,0.049
AQIR-ADS,sar,4x4,32.954,0.384,0.887,0.616
AQIR-NoGrad,sar,4x4,30.94,0.24,0.887,0.76
AQIR-FixedRot,sar,4x4,6.191,0.004,0.887,0.996
AQIR-Deep,sar,4x4,24.903,0.048,0.887,0.952
AQIR-ADS,sar,2x2,48.131,0.953,0.98,0.047
AQIR-NoGrad,sar,2x2,48.131,0.96,0.98,0.04
AQIR-FixedRot,sar,2x2,6.156,0.011,0.98,0.989
AQIR-Deep,sar,2x2,45.121,0.887,0.98,0.113
AQIR-ADS,sar,4x4,37.407,0.774,0.887,0.226
AQIR-NoGrad,sar,4x4,35.779,0.655,0.887,0.345
AQIR-FixedRot,sar,4x4,6.51,0.006,0.887,0.994
AQIR-Deep,sar,4x4,27.362,0.152,0.887,0.848
AQIR-ADS,sar,2x2,45.121,0.887,0.98,0.113
AQIR-NoGrad,sar,2x2,44.151,0.879,0.98,0.121
AQIR-FixedRot,sar,2x2,6.244,0.012,0.98,0.988
AQIR-Deep,sar,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,sar,4x4,35.7,0.579,0.887,0.421
AQIR-NoGrad,sar,4x4,35.04,0.497,0.887,0.503
AQIR-FixedRot,sar,4x4,6.248,0.006,0.887,0.994
AQIR-Deep,sar,4x4,27.571,0.178,0.887,0.822
AQIR-ADS,sar,2x2,54.151,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.157,0.011,0.98,0.989
AQIR-Deep,sar,2x2,100.0,1.0,0.98,0.0
AQIR-ADS,sar,4x4,34.896,0.524,0.887,0.476
AQIR-NoGrad,sar,4x4,36.443,0.729,0.887,0.271
AQIR-FixedRot,sar,4x4,6.272,0.006,0.887,0.994
AQIR-Deep,sar,4x4,27.927,0.144,0.887,0.856
AQIR-ADS,sar,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,sar,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.19,0.011,0.98,0.989
AQIR-Deep,sar,2x2,41.364,0.917,0.98,0.083
AQIR-ADS,sar,4x4,31.924,0.391,0.887,0.609
AQIR-NoGrad,sar,4x4,30.863,0.284,0.887,0.716
AQIR-FixedRot,sar,4x4,6.175,0.008,0.887,0.992
AQIR-Deep,sar,4x4,30.698,0.305,0.887,0.695
AQIR-ADS,sar,2x2,42.11,0.824,0.98,0.176
AQIR-NoGrad,sar,2x2,48.131,0.956,0.98,0.044
AQIR-FixedRot,sar,2x2,6.07,0.015,0.98,0.985
AQIR-Deep,sar,2x2,39.527,0.797,0.98,0.203
AQIR-ADS,sar,4x4,34.443,0.51,0.887,0.49
AQIR-NoGrad,sar,4x4,34.633,0.569,0.887,0.431
AQIR-FixedRot,sar,4x4,6.293,0.003,0.887,0.997
AQIR-Deep,sar,4x4,27.782,0.157,0.887,0.843
AQIR-ADS,sar,2x2,54.151,0.99,0.98,0.01
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.123,0.016,0.98,0.984
AQIR-Deep,sar,2x2,38.711,0.828,0.98,0.172
AQIR-ADS,sar,4x4,39.878,0.768,0.887,0.232
AQIR-NoGrad,sar,4x4,32.22,0.431,0.887,0.569
AQIR-FixedRot,sar,4x4,6.234,0.008,0.887,0.992
AQIR-Deep,sar,4x4,26.491,0.131,0.887,0.869
AQIR-ADS,sar,2x2,48.131,0.953,0.98,0.047
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.157,0.011,0.98,0.989
AQIR-Deep,sar,2x2,47.162,0.93,0.98,0.07
AQIR-ADS,sar,4x4,31.421,0.291,0.887,0.709
AQIR-NoGrad,sar,4x4,30.251,0.212,0.887,0.788
AQIR-FixedRot,sar,4x4,5.907,0.005,0.887,0.995
AQIR-Deep,sar,4x4,28.123,0.196,0.887,0.804
AQIR-ADS,sar,2x2,54.151,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.157,0.012,0.98,0.988
AQIR-Deep,sar,2x2,100.0,1.0,0.98,0.0
AQIR-ADS,sar,4x4,34.633,0.512,0.887,0.488
AQIR-NoGrad,sar,4x4,32.29,0.379,0.887,0.621
AQIR-FixedRot,sar,4x4,5.972,0.003,0.887,0.997
AQIR-Deep,sar,4x4,30.483,0.235,0.887,0.765
AQIR-ADS,sar,2x2,51.141,0.979,0.98,0.021
AQIR-NoGrad,sar,2x2,51.141,0.974,0.98,0.026
AQIR-FixedRot,sar,2x2,6.223,0.022,0.98,0.978
AQIR-Deep,sar,2x2,38.354,0.681,0.98,0.319
AQIR-ADS,sar,4x4,35.826,0.647,0.887,0.353
AQIR-NoGrad,sar,4x4,32.636,0.545,0.887,0.455
AQIR-FixedRot,sar,4x4,6.328,0.006,0.887,0.994
AQIR-Deep,sar,4x4,27.168,0.176,0.887,0.824
AQIR-ADS,sar,2x2,100.0,1.0,0.98,0.0
AQIR-NoGrad,sar,2x2,51.141,0.993,0.98,0.007
AQIR-FixedRot,sar,2x2,6.121,0.021,0.98,0.979
AQIR-Deep,sar,2x2,40.727,0.903,0.98,0.097
AQIR-ADS,sar,4x4,32.598,0.514,0.887,0.486
AQIR-NoGrad,sar,4x4,31.918,0.475,0.887,0.525
AQIR-FixedRot,sar,4x4,6.286,0.012,0.887,0.988
AQIR-Deep,sar,4x4,32.117,0.577,0.887,0.423
AQIR-ADS,sar,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.191,0.018,0.98,0.982
AQIR-Deep,sar,2x2,47.162,0.944,0.98,0.056
AQIR-ADS,sar,4x4,35.716,0.634,0.887,0.366
AQIR-NoGrad,sar,4x4,31.509,0.401,0.887,0.599
AQIR-FixedRot,sar,4x4,6.169,0.012,0.887,0.988
AQIR-Deep,sar,4x4,27.375,0.217,0.887,0.783
AQIR-ADS,sar,2x2,54.151,0.99,0.98,0.01
AQIR-NoGrad,sar,2x2,54.151,0.991,0.98,0.009
AQIR-FixedRot,sar,2x2,6.242,0.017,0.98,0.983
AQIR-Deep,sar,2x2,48.131,0.96,0.98,0.04
AQIR-ADS,sar,4x4,32.206,0.468,0.887,0.532
AQIR-NoGrad,sar,4x4,34.857,0.64,0.887,0.36
AQIR-FixedRot,sar,4x4,6.199,0.004,0.887,0.996
AQIR-Deep,sar,4x4,29.016,0.281,0.887,0.719
AQIR-ADS,sar,2x2,54.151,0.991,0.98,0.009
AQIR-NoGrad,sar,2x2,47.162,0.944,0.98,0.056
AQIR-FixedRot,sar,2x2,6.156,0.018,0.98,0.982
AQIR-Deep,sar,2x2,41.847,0.857,0.98,0.143
AQIR-ADS,sar,4x4,34.609,0.665,0.887,0.335
AQIR-NoGrad,sar,4x4,36.787,0.781,0.887,0.219
AQIR-FixedRot,sar,4x4,6.077,0.013,0.887,0.987
AQIR-Deep,sar,4x4,32.05,0.464,0.887,0.536
AQIR-ADS,sar,2x2,48.131,0.96,0.98,0.04
AQIR-NoGrad,sar,2x2,54.151,0.991,0.98,0.009
AQIR-FixedRot,sar,2x2,6.139,0.018,0.98,0.982
AQIR-Deep,sar,2x2,40.172,0.84,0.98,0.16
AQIR-ADS,sar,4x4,32.613,0.464,0.887,0.536
AQIR-NoGrad,sar,4x4,31.765,0.438,0.887,0.562
AQIR-FixedRot,sar,4x4,5.994,0.003,0.887,0.997
AQIR-Deep,sar,4x4,24.529,0.136,0.887,0.864
AQIR-ADS,sar,2x2,51.141,0.974,0.98,0.026
AQIR-NoGrad,sar,2x2,54.151,0.993,0.98,0.007
AQIR-FixedRot,sar,2x2,6.241,0.023,0.98,0.977
AQIR-Deep,sar,2x2,40.002,0.87,0.98,0.13
AQIR-ADS,sar,4x4,37.272,0.772,0.887,0.228
AQIR-NoGrad,sar,4x4,31.445,0.455,0.887,0.545
AQIR-FixedRot,sar,4x4,6.065,0.01,0.887,0.99
AQIR-Deep,sar,4x4,29.886,0.396,0.887,0.604
AQIR-ADS,sar,2x2,47.162,0.98,0.98,0.02
AQIR-NoGrad,sar,2x2,46.37,0.978,0.98,0.022
AQIR-FixedRot,sar,2x2,6.261,0.026,0.98,0.974
AQIR-Deep,sar,2x2,45.7,0.949,0.98,0.051
AQIR-ADS,sar,4x4,35.842,0.691,0.887,0.309
AQIR-NoGrad,sar,4x4,35.175,0.717,0.887,0.283
AQIR-FixedRot,sar,4x4,6.078,0.007,0.887,0.993
AQIR-Deep,sar,4x4,26.564,0.15,0.887,0.85
AQIR-ADS,sar,2x2,46.37,0.955,0.98,0.045
AQIR-NoGrad,sar,2x2,54.151,0.995,0.98,0.005
AQIR-FixedRot,sar,2x2,6.311,0.033,0.98,0.967
AQIR-Deep,sar,2x2,40.002,0.916,0.98,0.084
AQIR-ADS,sar,4x4,30.264,0.53,0.887,0.47
AQIR-NoGrad,sar,4x4,33.847,0.791,0.887,0.209
AQIR-FixedRot,sar,4x4,6.289,0.0,0.887,1.0
AQIR-Deep,sar,4x4,27.51,0.391,0.887,0.609
AQIR-ADS,sar,2x2,48.131,0.977,0.98,0.023
AQIR-NoGrad,sar,2x2,54.151,0.995,0.98,0.005
AQIR-FixedRot,sar,2x2,6.325,0.026,0.98,0.974
AQIR-Deep,sar,2x2,44.609,0.935,0.98,0.065
AQIR-ADS,sar,4x4,37.5,0.883,0.887,0.117
AQIR-NoGrad,sar,4x4,32.88,0.689,0.887,0.311
AQIR-FixedRot,sar,4x4,6.375,0.015,0.887,0.985
AQIR-Deep,sar,4x4,25.812,0.241,0.887,0.759
AQIR-ADS,sar,2x2,41.847,0.857,0.98,0.143
AQIR-NoGrad,sar,2x2,49.38,0.962,0.98,0.038
AQIR-FixedRot,sar,2x2,6.224,0.033,0.98,0.967
AQIR-Deep,sar,2x2,39.838,0.73,0.98,0.27
AQIR-ADS,sar,4x4,41.087,0.95,0.887,0.05
AQIR-NoGrad,sar,4x4,32.515,0.67,0.887,0.33
AQIR-FixedRot,sar,4x4,6.42,0.021,0.887,0.979
AQIR-Deep,sar,4x4,26.107,0.254,0.887,0.746
AQIR-ADS,sar,2x2,49.38,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,51.141,0.982,0.98,0.018
AQIR-FixedRot,sar,2x2,6.259,0.033,0.98,0.967
AQIR-Deep,sar,2x2,46.37,0.973,0.98,0.027
AQIR-ADS,sar,4x4,32.613,0.649,0.887,0.351
AQIR-NoGrad,sar,4x4,34.273,0.797,0.887,0.203
AQIR-FixedRot,sar,4x4,6.212,0.007,0.887,0.993
AQIR-Deep,sar,4x4,26.931,0.393,0.887,0.607
AQIR-ADS,sar,2x2,43.737,0.876,0.98,0.124
AQIR-NoGrad,sar,2x2,46.37,0.98,0.98,0.02
AQIR-FixedRot,sar,2x2,6.225,0.035,0.98,0.965
AQIR-Deep,sar,2x2,38.469,0.831,0.98,0.169
AQIR-ADS,sar,4x4,32.486,0.663,0.887,0.337
AQIR-NoGrad,sar,4x4,31.486,0.667,0.887,0.333
AQIR-FixedRot,sar,4x4,6.071,0.009,0.887,0.991
AQIR-Deep,sar,4x4,28.069,0.409,0.887,0.591
AQIR-ADS,sar,2x2,54.151,0.995,0.98,0.005
AQIR-NoGrad,sar,2x2,44.609,0.957,0.98,0.043
AQIR-FixedRot,sar,2x2,6.329,0.033,0.98,0.967
AQIR-Deep,sar,2x2,44.151,0.914,0.98,0.086
AQIR-ADS,sar,4x4,37.524,0.893,0.887,0.107
AQIR-NoGrad,sar,4x4,35.548,0.825,0.887,0.175
AQIR-FixedRot,sar,4x4,6.661,0.021,0.887,0.979
AQIR-Deep,sar,4x4,34.67,0.802,0.887,0.198
AQIR-ADS,sar,2x2,47.162,0.973,0.98,0.027
AQIR-NoGrad,sar,2x2,51.141,0.992,0.98,0.008
AQIR-FixedRot,sar,2x2,6.208,0.015,0.98,0.985
AQIR-Deep,sar,2x2,54.151,0.99,0.98,0.01
AQIR-ADS,sar,4x4,33.516,0.473,0.887,0.527
AQIR-NoGrad,sar,4x4,32.463,0.473,0.887,0.527
AQIR-FixedRot,sar,4x4,6.189,0.007,0.887,0.993
AQIR-Deep,sar,4x4,26.101,0.092,0.887,0.908
AQIR-ADS,sar,2x2,46.37,0.951,0.98,0.049
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.174,0.011,0.98,0.989
AQIR-Deep,sar,2x2,40.727,0.771,0.98,0.229
AQIR-ADS,sar,4x4,38.711,0.792,0.887,0.208
AQIR-NoGrad,sar,4x4,32.206,0.449,0.887,0.551
AQIR-FixedRot,sar,4x4,6.085,0.01,0.887,0.99
AQIR-Deep,sar,4x4,27.995,0.201,0.887,0.799
AQIR-ADS,sar,2x2,48.131,0.956,0.98,0.044
AQIR-NoGrad,sar,2x2,48.131,0.956,0.98,0.044
AQIR-FixedRot,sar,2x2,6.106,0.008,0.98,0.992
AQIR-Deep,sar,2x2,48.131,0.956,0.98,0.044
AQIR-ADS,sar,4x4,40.534,0.803,0.887,0.197
AQIR-NoGrad,sar,4x4,35.04,0.508,0.887,0.492
AQIR-FixedRot,sar,4x4,6.271,0.003,0.887,0.997
AQIR-Deep,sar,4x4,27.19,0.097,0.887,0.903
AQIR-ADS,sar,2x2,51.141,0.992,0.98,0.008
AQIR-NoGrad,sar,2x2,49.38,0.979,0.98,0.021
AQIR-FixedRot,sar,2x2,6.037,0.004,0.98,0.996
AQIR-Deep,sar,2x2,44.609,0.9,0.98,0.1
AQIR-ADS,sar,4x4,35.593,0.489,0.887,0.511
AQIR-NoGrad,sar,4x4,37.339,0.615,0.887,0.385
AQIR-FixedRot,sar,4x4,5.835,0.002,0.887,0.998
AQIR-Deep,sar,4x4,28.585,0.119,0.887,0.881
AQIR-ADS,sar,2x2,54.151,0.987,0.98,0.013
AQIR-NoGrad,sar,2x2,47.162,0.915,0.98,0.085
AQIR-FixedRot,sar,2x2,6.106,0.004,0.98,0.996
AQIR-Deep,sar,2x2,37.619,0.484,0.98,0.516
AQIR-ADS,sar,4x4,33.669,0.35,0.887,0.65
AQIR-NoGrad,sar,4x4,29.284,0.146,0.887,0.854
AQIR-FixedRot,sar,4x4,6.124,0.002,0.887,0.998
AQIR-Deep,sar,4x4,25.345,0.044,0.887,0.956
AQIR-ADS,sar,2x2,48.131,0.956,0.98,0.044
AQIR-NoGrad,sar,2x2,44.609,0.9,0.98,0.1
AQIR-FixedRot,sar,2x2,6.157,0.015,0.98,0.985
AQIR-Deep,sar,2x2,54.151,0.989,0.98,0.011
AQIR-ADS,sar,4x4,34.295,0.546,0.887,0.454
AQIR-NoGrad,sar,4x4,32.713,0.475,0.887,0.525
AQIR-FixedRot,sar,4x4,6.072,0.009,0.887,0.991
AQIR-Deep,sar,4x4,29.55,0.272,0.887,0.728
AQIR-ADS,sar,2x2,51.141,0.971,0.98,0.029
AQIR-NoGrad,sar,2x2,54.151,0.989,0.98,0.011
AQIR-FixedRot,sar,2x2,6.106,0.016,0.98,0.984
AQIR-Deep,sar,2x2,40.002,0.782,0.98,0.218
AQIR-ADS,sar,4x4,34.549,0.544,0.887,0.456
AQIR-NoGrad,sar,4x4,31.41,0.381,0.887,0.619
AQIR-FixedRot,sar,4x4,6.231,0.008,0.887,0.992
AQIR-Deep,sar,4x4,30.331,0.319,0.887,0.681
AQIR-ADS,sar,2x2,51.141,0.967,0.98,0.033
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.174,0.011,0.98,0.989
AQIR-Deep,sar,2x2,38.837,0.848,0.98,0.152
AQIR-ADS,sar,4x4,34.228,0.444,0.887,0.556
AQIR-NoGrad,sar,4x4,32.269,0.394,0.887,0.606
AQIR-FixedRot,sar,4x4,6.305,0.007,0.887,0.993
AQIR-Deep,sar,4x4,29.77,0.225,0.887,0.775
AQIR-ADS,sar,2x2,54.151,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.174,0.011,0.98,0.989
AQIR-Deep,sar,2x2,43.012,0.837,0.98,0.163
AQIR-ADS,sar,4x4,33.148,0.462,0.887,0.538
AQIR-NoGrad,sar,4x4,34.261,0.536,0.887,0.464
AQIR-FixedRot,sar,4x4,6.168,0.007,0.887,0.993
AQIR-Deep,sar,4x4,24.566,0.061,0.887,0.939
AQIR-ADS,sar,2x2,47.162,0.915,0.98,0.085
AQIR-NoGrad,sar,2x2,47.162,0.937,0.98,0.063
AQIR-FixedRot,sar,2x2,6.123,0.016,0.98,0.984
AQIR-Deep,sar,2x2,51.141,0.992,0.98,0.008
AQIR-ADS,sar,4x4,33.659,0.541,0.887,0.459
AQIR-NoGrad,sar,4x4,35.358,0.587,0.887,0.413
AQIR-FixedRot,sar,4x4,6.139,0.008,0.887,0.992
AQIR-Deep,sar,4x4,28.317,0.259,0.887,0.741
AQIR-ADS,sar,2x2,54.151,0.989,0.98,0.011
AQIR-NoGrad,sar,2x2,54.151,0.99,0.98,0.01
AQIR-FixedRot,sar,2x2,6.071,0.015,0.98,0.985
AQIR-Deep,sar,2x2,43.737,0.915,0.98,0.085
AQIR-ADS,sar,4x4,34.273,0.578,0.887,0.422
AQIR-NoGrad,sar,4x4,30.955,0.302,0.887,0.698
AQIR-FixedRot,sar,4x4,6.108,0.005,0.887,0.995
AQIR-Deep,sar,4x4,32.07,0.409,0.887,0.591
AQIR-ADS,sar,2x2,54.151,0.988,0.98,0.012
AQIR-NoGrad,sar,2x2,48.131,0.953,0.98,0.047
AQIR-FixedRot,sar,2x2,6.14,0.012,0.98,0.988
AQIR-Deep,sar,2x2,51.141,0.961,0.98,0.039
AQIR-ADS,sar,4x4,33.315,0.505,0.887,0.495
AQIR-NoGrad,sar,4x4,34.909,0.586,0.887,0.414
AQIR-FixedRot,sar,4x4,6.379,0.009,0.887,0.991
AQIR-Deep,sar,4x4,25.131,0.069,0.887,0.931
AQIR-ADS,sar,2x2,54.151,0.994,0.98,0.006
AQIR-NoGrad,sar,2x2,51.141,0.983,0.98,0.017
AQIR-FixedRot,sar,2x2,6.225,0.039,0.98,0.961
AQIR-Deep,sar,2x2,100.0,1.0,0.98,0.0
AQIR-ADS,sar,4x4,35.175,0.75,0.887,0.25
AQIR-NoGrad,sar,4x4,32.255,0.624,0.887,0.376
AQIR-FixedRot,sar,4x4,6.352,0.024,0.887,0.976
AQIR-Deep,sar,4x4,24.991,0.253,0.887,0.747
AQIR-ADS,sar,2x2,43.737,0.918,0.98,0.082
AQIR-NoGrad,sar,2x2,39.38,0.833,0.98,0.167
AQIR-FixedRot,sar,2x2,6.332,0.053,0.98,0.947
AQIR-Deep,sar,2x2,39.527,0.806,0.98,0.194
AQIR-ADS,sar,4x4,34.819,0.8,0.887,0.2
AQIR-NoGrad,sar,4x4,30.673,0.548,0.887,0.452
AQIR-FixedRot,sar,4x4,6.252,0.017,0.887,0.983
AQIR-Deep,sar,4x4,28.786,0.425,0.887,0.575
AQIR-ADS,sar,2x2,46.37,0.977,0.98,0.023
AQIR-NoGrad,sar,2x2,54.151,0.993,0.98,0.007
AQIR-FixedRot,sar,2x2,6.261,0.03,0.98,0.97
AQIR-Deep,sar,2x2,51.141,0.981,0.98,0.019
AQIR-ADS,sar,4x4,32.937,0.571,0.887,0.429
AQIR-NoGrad,sar,4x4,35.093,0.685,0.887,0.315
AQIR-FixedRot,sar,4x4,6.152,0.015,0.887,0.985
AQIR-Deep,sar,4x4,26.57,0.23,0.887,0.77
AQIR-ADS,sar,2x2,51.141,0.974,0.98,0.026
AQIR-NoGrad,sar,2x2,44.151,0.937,0.98,0.063
AQIR-FixedRot,sar,2x2,6.14,0.019,0.98,0.981
AQIR-Deep,sar,2x2,47.162,0.975,0.98,0.025
AQIR-ADS,sar,4x4,36.107,0.806,0.887,0.194
AQIR-NoGrad,sar,4x4,39.344,0.834,0.887,0.166
AQIR-FixedRot,sar,4x4,6.233,0.006,0.887,0.994
AQIR-Deep,sar,4x4,34.25,0.706,0.887,0.294
AQIR-ADS,sar,2x2,54.151,0.993,0.98,0.007
AQIR-NoGrad,sar,2x2,47.162,0.959,0.98,0.041
AQIR-FixedRot,sar,2x2,6.227,0.03,0.98,0.97
AQIR-Deep,sar,2x2,51.141,0.993,0.98,0.007
AQIR-ADS,sar,4x4,34.794,0.712,0.887,0.288
AQIR-NoGrad,sar,4x4,36.574,0.82,0.887,0.18
AQIR-FixedRot,sar,4x4,6.189,0.017,0.887,0.983
AQIR-Deep,sar,4x4,27.164,0.196,0.887,0.804
AQIR-ADS,sar,2x2,48.131,0.983,0.98,0.017
AQIR-NoGrad,sar,2x2,47.162,0.978,0.98,0.022
AQIR-FixedRot,sar,2x2,6.326,0.039,0.98,0.961
AQIR-Deep,sar,2x2,46.37,0.98,0.98,0.02
AQIR-ADS,sar,4x4,32.832,0.785,0.887,0.215
AQIR-NoGrad,sar,4x4,30.934,0.699,0.887,0.301
AQIR-FixedRot,sar,4x4,6.501,0.035,0.887,0.965
AQIR-Deep,sar,4x4,25.831,0.236,0.887,0.764
AQIR-ADS,sar,2x2,47.162,0.987,0.98,0.013
AQIR-NoGrad,sar,2x2,54.151,0.996,0.98,0.004
AQIR-FixedRot,sar,2x2,6.413,0.036,0.98,0.964
AQIR-Deep,sar,2x2,43.012,0.918,0.98,0.082
AQIR-ADS,sar,4x4,32.269,0.719,0.887,0.281
AQIR-NoGrad,sar,4x4,34.87,0.851,0.887,0.149
AQIR-FixedRot,sar,4x4,6.33,0.023,0.887,0.977
AQIR-Deep,sar,4x4,26.631,0.412,0.887,0.588
AQIR-ADS,sar,2x2,45.121,0.977,0.98,0.023
AQIR-NoGrad,sar,2x2,100.0,1.0,0.98,0.0
AQIR-FixedRot,sar,2x2,6.238,0.028,0.98,0.972
AQIR-Deep,sar,2x2,37.919,0.847,0.98,0.153
AQIR-ADS,sar,4x4,33.174,0.672,0.887,0.328
AQIR-NoGrad,sar,4x4,31.076,0.578,0.887,0.422
AQIR-FixedRot,sar,4x4,6.234,0.025,0.887,0.975
AQIR-Deep,sar,4x4,26.179,0.319,0.887,0.681
AQIR-ADS,sar,2x2,54.151,0.994,0.98,0.006
AQIR-NoGrad,sar,2x2,54.151,0.995,0.98,0.005
AQIR-FixedRot,sar,2x2,6.326,0.029,0.98,0.971
AQIR-Deep,sar,2x2,43.012,0.959,0.98,0.041
AQIR-ADS,sar,4x4,30.722,0.558,0.887,0.442
AQIR-NoGrad,sar,4x4,30.418,0.534,0.887,0.466
AQIR-FixedRot,sar,4x4,6.164,0.011,0.887,0.989
AQIR-Deep,sar,4x4,28.28,0.455,0.887,0.545
AQIR-ADS,sar,2x2,44.609,0.932,0.98,0.068
AQIR-NoGrad,sar,2x2,44.151,0.951,0.98,0.049
AQIR-FixedRot,sar,2x2,6.26,0.028,0.98,0.972
AQIR-Deep,sar,2x2,100.0,1.0,0.98,0.0
AQIR-ADS,sar,4x4,31.347,0.555,0.887,0.445
AQIR-NoGrad,sar,4x4,32.471,0.674,0.887,0.326
AQIR-FixedRot,sar,4x4,6.388,0.012,0.887,0.988
AQIR-Deep,sar,4x4,25.676,0.265,0.887,0.735
